X_id,id,g_pnt_2,geo_shp,fenomen,taxonom,r_p_v_e,intnsdd,descrpc,fuente,cvegeo,alcaldi,entidad,area_m2,perim_m,perd_rt,intens_n,intns_nm,int2
1,35,"19.2422518066,-99.0731823535","{""type"": ""Polygon"", ""coordinates"": [[[-99.07603611210541, 19.240091633408568], [-99.07600865710114, 19.240141069291035], [-99.07594720319956, 19.240157336035118], [-99.07587663679415, 19.24012782717476], [-99.07581291372288, 19.240082363603427], [-99.075",Hidrometeorolgicos,Inundaciones,Peligro,Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300011154,Xochimilco,Ciudad de Mxico,973904.029201,6805.44825625,5 aos,% de area inundable,26 a 49,2
2,56,"19.2236128042,-99.1083418839","{""type"": ""Polygon"", ""coordinates"": [[[-99.10647956264242, 19.219418014853265], [-99.10646469508397, 19.219479294420967], [-99.10642118124683, 19.21968509277709], [-99.10644144011029, 19.219732423143185], [-99.10657768011636, 19.219805274525577], [-99.107",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300010601,Xochimilco,Ciudad de Mxico,795548.364401,4693.75269064,5 aos,% de area inundable,0 a 25,1
3,32,"19.3809650541,-99.1373113251","{""type"": ""Polygon"", ""coordinates"": [[[-99.13663663290174, 19.37947766600346], [-99.13716744044643, 19.379548394914572], [-99.13769759302787, 19.379619033227588], [-99.13811085804615, 19.37967409782936], [-99.13824636695271, 19.37969215328625], [-99.13878",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010524,Benito Jurez,Ciudad de Mxico,168263.324089,1712.40960466,5 aos,% de area inundable,100,5
4,45,"19.2603567,-99.0628861422","{""type"": ""Polygon"", ""coordinates"": [[[-99.0614273929178, 19.262769332997213], [-99.0611654156816, 19.26275102614193], [-99.06101137876797, 19.26318326996755], [-99.06079098835882, 19.26364184656421], [-99.06061246954914, 19.263644164708584], [-99.0605218",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300010724,Xochimilco,Ciudad de Mxico,267499.36889600003,2488.60325608,5 aos,% de area inundable,100,5
5,31,"19.3905750675,-99.144452701","{""type"": ""Polygon"", ""coordinates"": [[[-99.1445789910582, 19.38898404961398], [-99.14500600510499, 19.389040658176135], [-99.14549416962896, 19.389105372144314], [-99.14595637608699, 19.389166642559143], [-99.14609399680047, 19.38851141094063], [-99.14627",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010280,Benito Jurez,Ciudad de Mxico,202062.408324,2113.71385722,5 aos,% de area inundable,100,5
6,305,"19.2276041044,-98.9941234328","{""type"": ""Polygon"", ""coordinates"": [[[-98.99732305328835, 19.228618549470955], [-98.99728547527923, 19.228645282753817], [-98.99724276608936, 19.22868128912886], [-98.99719684084322, 19.22873278066865], [-98.99713747922313, 19.228788114101384], [-98.9970",Hidrometeorolgicos,Inundaciones,Peligro,Medio,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901100210787,Tlhuac,Ciudad de Mxico,234874.042009,3196.0804442,5 aos,% de area inundable,50 a 72,3
204,394,"19.3419018187,-99.2540388952","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.24724858135454, 19.340572031784856], [-99.2474149320753, 19.340829023217317], [-99.2475109838786, 19.34102861673273], [-99.24755590360492, 19.341179863006783], [-99.24758163465751, 19.34130692799153], [-99.",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000011148,lvaro Obregn,Ciudad de Mxico,1359093.52051,7132.29601537,5 aos,% de area inundable,0 a 25,1
7,323,"19.2771922614,-99.028409051","{""type"": ""Polygon"", ""coordinates"": [[[-99.02918343882567, 19.27849451594995], [-99.02868230127314, 19.27834532641897], [-99.02858128520279, 19.278625138565616], [-99.02844708081608, 19.279029506096688], [-99.02815650159573, 19.279874703411892], [-99.0279",Hidrometeorolgicos,Inundaciones,Peligro,Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901100011535,Tlhuac,Ciudad de Mxico,355850.190015,2734.1363449,5 aos,% de area inundable,26 a 49,2
8,322,"19.281094046,-99.0281852145","{""type"": ""Polygon"", ""coordinates"": [[[-99.02500355261003, 19.27899527826192], [-99.02584523676654, 19.279156925468126], [-99.02593150318614, 19.27918400635835], [-99.02653649947467, 19.279357408637935], [-99.02685722860656, 19.279444453704382], [-99.0273",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901100011395,Tlhuac,Ciudad de Mxico,284714.87588,2399.45362774,5 aos,% de area inundable,100,5
9,205,"19.2743171889,-99.1598802949","{""type"": ""Polygon"", ""coordinates"": [[[-99.15838089901064, 19.275915636941694], [-99.15829947667821, 19.275701804711574], [-99.15825259505041, 19.275508442902037], [-99.15819638023738, 19.275292990328467], [-99.15815679160252, 19.275140698428757], [-99.15",Hidrometeorolgicos,Inundaciones,Peligro,Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901200012259,Tlalpan,Ciudad de Mxico,118347.612203,1477.92294678,5 aos,% de area inundable,26 a 49,2
10,196,"19.2468417163,-99.0123697042","{""type"": ""Polygon"", ""coordinates"": [[[-99.01247532216037, 19.245014296136876], [-99.01256527757062, 19.244734040117837], [-99.01282745129515, 19.244807188915974], [-99.01391692520569, 19.245111151997477], [-99.01391149435578, 19.24513340124801], [-99.013",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300011205,Xochimilco,Ciudad de Mxico,80875.1795027,1575.46780681,5 aos,% de area inundable,0 a 25,1
11,228,"19.2208697869,-98.9702836558","{""type"": ""Polygon"", ""coordinates"": [[[-98.97354173400987, 19.221216825672755], [-98.97300722710513, 19.221162329202517], [-98.97289706911175, 19.221465684622565], [-98.97207328596167, 19.22125051687558], [-98.971504686465, 19.22256175171178], [-98.971064",Hidrometeorolgicos,Inundaciones,Peligro,Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901100241183,Tlhuac,Ciudad de Mxico,191056.44022,2120.75141505,5 aos,% de area inundable,73 a 99,4
148,1237,"19.5118227883,-99.1321576734","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.13241959960716, 19.509790607847812], [-99.13299030222791, 19.510607641752124], [-99.13346515642968, 19.511281325083583], [-99.13330384099676, 19.511567045329002], [-99.13314306525342, 19.512029391265276], [",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0900500013110,Gustavo A. Madero,Ciudad de Mxico,60153.1855772,1054.25907025,5 aos,% de area inundable,100,5
12,66,"19.2261935974,-99.0961025657","{""type"": ""Polygon"", ""coordinates"": [[[-99.0958829609823, 19.2250977081918], [-99.09618929040379, 19.225141590187285], [-99.09629408281438, 19.225152698292188], [-99.09623601533647, 19.225352384457675], [-99.09625255087572, 19.22552878528109], [-99.096263",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300011544,Xochimilco,Ciudad de Mxico,9832.67795981,583.095636572,5 aos,% de area inundable,0 a 25,1
13,100,"19.3946112885,-99.1745309365","{""type"": ""Polygon"", ""coordinates"": [[[-99.17043552684466, 19.39978980596164], [-99.17096014181406, 19.39837406111629], [-99.17126974113886, 19.397435911646028], [-99.1715007107706, 19.39677645577614], [-99.17171624862638, 19.39608086628174], [-99.1718937",Hidrometeorolgicos,Inundaciones,Peligro,Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010219,Benito Jurez,Ciudad de Mxico,280199.900175,3236.21495127,5 aos,% de area inundable,73 a 99,4
14,67,"19.3885597096,-99.1364615233","{""type"": ""Polygon"", ""coordinates"": [[[-99.13669617058763, 19.390252888809183], [-99.13615086503505, 19.39018268260176], [-99.13554050754479, 19.390098599316648], [-99.13562324618452, 19.389557506201918], [-99.13570868081484, 19.388725541365144], [-99.135",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010327,Benito Jurez,Ciudad de Mxico,145405.517839,1956.19234816,5 aos,% de area inundable,100,5
